,count,mean,std,min,25%,50%,75%,max
Negative,202635.0,1.6222049657132989,0.5769475788755155,0.0,1.2155846323256458,1.5559436003023277,1.9537390637652774,6.661121892616209
Positive,202635.0,0.45617038749579863,0.19986476108232634,0.0,0.32586913346259727,0.4268913264729164,0.5543773153386538,2.833905197610878
Uncertainty,202635.0,1.216558695279067,0.44500376306858724,0.0,0.9310305212828889,1.153444676409186,1.4401670368470145,3.152950862617417
Litigious,202635.0,1.1716805558167054,0.7423140988085039,0.0,0.6378429784009472,0.9443967476390082,1.485078668801946,8.955223880597014
StrongModal,202635.0,0.2560658575508445,0.13261370012384235,0.0,0.16725851260467064,0.2301122762582817,0.3164740783704407,2.1048451151707703
WeakModal,202635.0,0.4729083956688045,0.3592737278140086,0.0,0.24386466494568232,0.348959705030287,0.5739891076258683,2.482786462421782
Constraining,202635.0,0.7258525779518187,0.22212824882090815,0.0,0.5650854366757492,0.7058021806853583,0.8660848779087352,3.1312292358803986
BM_w,202635.0,0.9754112436738819,3.430145135709182,-3.5831454127968745,0.05328729034405385,0.2548503556973061,0.7265301459981152,28.35238409909543
Size_w,202635.0,20.24723094216167,2.9552655310087426,12.71589776896258,18.2459124135877,20.50790210421109,22.40290903205324,26.184547783675203
dAsset_w,202635.0,0.13889854129860363,0.9435932610252342,-0.857421786681561,-0.028664766398149952,0.0034927934321385,0.0396858036056511,8.040763022168624
ROE_w,202635.0,0.019379459504278895,0.9987654429449461,-5.222115759650049,-0.0325686542983619,0.0226628396963749,0.07183596822885455,5.9817525009185335
Momentum_12_1,202635.0,66074.85547109887,8586694.560449956,-10.20640465291921,-0.25373135075241965,0.0311404094466423,0.3060695143243159,1166666619.3075004
Vol_30d,202635.0,3589.7543039259785,1142604.1062420427,0.0,0.01549554950514305,0.0262089459415998,0.046526834438052195,363696469.0564368
CCTI,202635.0,-2.3825932734965667,0.8165737953247403,-6.88707143517235,-2.804073657444644,-2.27085053674649,-1.8505508030378786,1.771793054571226
ExcessRet,202635.0,0.20706101935422488,39.85064721320195,-5.059807988,-0.25115087999999997,-0.068005884,0.02364492664113335,10999.00052
