,0
Vol_30d,0.3252319050949562
Momentum_12_1,0.2609514628523966
Litigious,0.11603748878172075
dAsset_w,0.06255263293830945
StrongModal,0.061679098469625084
Uncertainty,0.03615756930291536
Constraining,0.03513499818843224
WeakModal,0.02801503005728556
CCTI,0.017697831376160093
Size_w,0.013856586083640019
BM_w,0.012788336481446044
Positive,0.012610026931076242
ROE_w,0.010668173721772282
Negative,0.006618859720264172
