Model,R2,RMSE,MAE
RandomForest,0.1337650184129311,28.851547565234423,0.6964764099523038
GradientBoosting,0.09086304211290397,29.557378335115654,0.5827411105430209
XGBoost,0.0025364316258330577,30.959916117443896,0.7460823421343997
Lasso,0.00026857354350207086,30.995091754023715,0.7610850471802488
ElasticNet,0.00026776098311687146,30.995104350095975,0.7617864124321413
Ridge,0.00026689289630554835,30.995117806916916,0.7627693985527486
